id,name,type,birth,age,position,country
JL,Juliet Lohuis,1,1996,3,1,1
MT,Mira Todorova,1,1994,4,1,2
ET,Eline Timmerman,1,1998,2,1,1
HK,Hannah Kohn,1,2003,1,2,3
IV,Ilka Van De Vyver,1,1993,4,2,4
JN,Julia Nowicka,1,1998,2,2,5
SL,Simone Lee,1,1996,3,3,6
MP,Maria Segura Palleres,1,1992,4,3,7
HJ,Hester Japser,1,2001,1,3,1
HD,Helena Dornheim,1,2004,1,3,3
KR,Krystal Rivers,1,1994,4,4,6
LB,Lara Berger,1,2001,1,4,3
RK,Roosa Koskelo,1,1991,4,5,8
LG,Lena Grundt,1,2004,1,5,3
,,,,,,
S65,Set-up ´65,2,,,,
TTP,Talent Team Papendal,2,,,,
EA,Eurosped Almemo,2,,,,
CA,Coolen Alterno,2,,,,
USC,USC Münster,2,,,,
RCC,RC Cannes,2,,,,
VLC,Volero Le Cannet,2,,,,
VZ,Volero Zürich,2,,,,
LCVB,Le Cannet Volley Ball,2,,,,
SAP,Sm´Aesch Pfeffingen,2,,,,
VCM,VC Maritza,2,,,,
AA,Alterno Apeldoorn,2,,,,
ETW,Eurosped Twente,2,,,,
LBA,Ladies in Black Aachen,2,,,,
OS,Olympiastützpunkt Stuttgart,2,,,,
BS,Bundesstützpunkt Stuttgart,2,,,,
VfBU,VfB Ulm,2,,,,
AK,Asterix Kieldrecht,2,,,,
IBF,Il Bisonte Firenze,2,,,,
CL,Calcit Ljubljana,2,,,,
RRV,Rote Raben Vilsbiburg,2,,,,
CSM,CSM Targoviste,2,,,,
GBL,Grot Budowlani Lodz,2,,,,
BKS,BKS Profi Credit Bielsko-Biala,2,,,,
KS,KS Pałac Bydgoszcz U20,2,,,,
SMS,SMS PZPS Szczyrk,2,,,,
KAF,Kurobe AquaFairies,2,,,,
B,Beylikdüzü,2,,,,
IVC,Imoco Volley Conegliano,2,,,,
PSU,Penn State Univ.,2,,,,
BVMB,Banca Valsabbina Millenium Brescia,2,,,,
DSC,Dresdner SC 1898,2,,,,
BSBC,Bosca San Bernardo Cuneo,2,,,,
STM,Saugella Team Monza,2,,,,
DIT,Delta Informatica Trentino,2,,,,
GHO,Geovillage Hermaea Olbia,2,,,,
CVB,CV Barcelona,2,,,,
VfBSLT,VfB Suhl Lotto Thüringen,2,,,,
VCS,VC Sneek,2,,,,
MTVII,Allianz MTV Stuttgart II,2,,,,
UOA,University of Alabama,2,,,,
BA,Beziers Angels,2,,,,
LBMNE,Luka Bar (MNE),2,,,,
FVTM,FV Tübinger Modell,2,,,,
BSP,BSP MTV Stuttgart,2,,,,
VCO,VCO Berlin,2,,,,
OK,OK Nova KBM Branik,2,,,,
LPV,LP Viesti,2,,,,
LPK,LP Kangasala,2,,,,
HL,Hämeenlinnan Lentopallokerho,2,,,,
K,Kimmo,2,,,,
SP,Someron Pallo,2,,,,
EJMTV,Eigene Jugend MTV Stuttgart,2,,,,
,,,,,,
NED,Niederlande,2,,,,
BUL,Bulgarien,2,,,,
GER,Deutschland,2,,,,
BEL,Belgien,2,,,,
POL,Polen,2,,,,
USA,United States of America,2,,,,
ESP,Spanien,2,,,,
FIN,Finnland,2,,,,
